Case_ID,Scope,Tier,Stage,Member_ID,Geo,Status,Pre_Max,Contributors_N,Required_N
FP023,TH,T1,A_MEMBER_GEO,FP023,TH,OK,100.0000000000,1,1
FP023,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP023,TH,T1,D_POST_SA,,TH,OK,96.5901448757,1,1
FP024,TH,T1,A_MEMBER_GEO,FP024,TH,OK,100.0000000000,1,1
FP024,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP024,TH,T1,D_POST_SA,,TH,OK,91.6347524518,1,1
FP025,TH,T1,A_MEMBER_GEO,FP025,TH,NO_SIGNAL,0.0000000000,1,1
FP025,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
FP025,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
FP026,TH,T1,A_MEMBER_GEO,FP026,TH,OK,100.0000000000,1,1
FP026,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP026,TH,T1,D_POST_SA,,TH,OK,96.2606978783,1,1
FP027,TH,T1,A_MEMBER_GEO,FP027,TH,OK,100.0000000000,1,1
FP027,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP027,TH,T1,D_POST_SA,,TH,OK,98.2939266494,1,1
FU018,TH,T1,A_MEMBER_GEO,FU018,TH,OK,89.0000000000,1,1
FU018,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU018,TH,T1,D_POST_SA,,TH,OK,93.3953095209,1,1
FU019,TH,T1,A_MEMBER_GEO,FU019,TH,OK,100.0000000000,1,1
FU019,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU019,TH,T1,D_POST_SA,,TH,OK,93.7091624035,1,1
FU020,TH,T1,A_MEMBER_GEO,FU020,TH,OK,100.0000000000,1,1
FU020,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU020,TH,T1,D_POST_SA,,TH,OK,97.0109206392,1,1
FU021,TH,T1,A_MEMBER_GEO,FU021,TH,OK,100.0000000000,1,1
FU021,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU021,TH,T1,D_POST_SA,,TH,OK,91.8550644139,1,1
FU022,TH,T1,A_MEMBER_GEO,FU022,TH,OK,100.0000000000,1,1
FU022,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU022,TH,T1,D_POST_SA,,TH,OK,109.7615212966,1,1
FU023,TH,T1,A_MEMBER_GEO,FU023,TH,OK,96.0000000000,1,1
FU023,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU023,TH,T1,D_POST_SA,,TH,OK,98.7821061135,1,1
FU024,TH,T1,A_MEMBER_GEO,FU024,TH,OK,100.0000000000,1,1
FU024,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU024,TH,T1,D_POST_SA,,TH,OK,99.1958458597,1,1
FU025,TH,T1,A_MEMBER_GEO,FU025,TH,OK,100.0000000000,1,1
FU025,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU025,TH,T1,D_POST_SA,,TH,OK,102.1768244783,1,1
FU026,TH,T1,A_MEMBER_GEO,FU026,TH,OK,100.0000000000,1,1
FU026,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU026,TH,T1,D_POST_SA,,TH,OK,95.2668388105,1,1
FU027,TH,T1,A_MEMBER_GEO,FU027,TH,OK,100.0000000000,1,1
FU027,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU027,TH,T1,D_POST_SA,,TH,OK,101.9100069841,1,1
TP005,TH,T1,A_MEMBER_GEO,TP005,TH,OK,100.0000000000,1,1
TP005,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TP005,TH,T1,D_POST_SA,,TH,OK,98.0579912756,1,1
TP006,TH,T1,A_MEMBER_GEO,TP006,TH,OK,100.0000000000,1,1
TP006,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TP006,TH,T1,D_POST_SA,,TH,OK,99.0632093867,1,1
TU006,TH,T1,A_MEMBER_GEO,TU006,TH,OK,100.0000000000,1,1
TU006,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU006,TH,T1,D_POST_SA,,TH,OK,99.3488003624,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-30,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-31,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-32,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-33,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-34,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-35,OK,100.0000000000,1,1
FP001,REG_ISAN20,T1,A_MEMBER_GEO,FP001,TH-36,OK,100.0000000000,1,1
