Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
FU014,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP015,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU015,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
TP001,REG_ISAN20,X13,3.0000000000,2.7100000000,1.6740000000,1.3810000000,3.0000000000,0.2270000000,3.0000000000,2.5830000000,1.1330000000,3.0000000000,3.0000000000,2.2100000000,,0.2770000000,0.9891000000,0.7480000000,0.6905000000,3.3580000000,0.0005000000,10.5490000000,0.4818000000,REJECTED
TP002,REG_ISAN20,X13,0.4740000000,0.3460000000,0.0000000000,2.1350000000,3.0000000000,0.1010000000,2.5910000000,2.8000000000,0.2960000000,2.4180000000,1.5810000000,1.5700000000,,1.1550000000,0.3250000000,1.1880000000,0.3009000000,2.9820000000,0.0015000000,27.1460000000,0.0044000000,REJECTED
TP003,REG_ISAN20,X13,3.0000000000,3.0000000000,1.5170000000,0.2010000000,3.0000000000,1.2820000000,3.0000000000,1.9270000000,0.9990000000,1.0000000000,0.9910000000,2.0500000000,,0.6650000000,0.7692000000,0.6260000000,0.8045000000,2.9400000000,0.0018000000,7.6710000000,0.7424000000,REJECTED
TP004,REG_ISAN20,X13,3.0000000000,3.0000000000,1.6090000000,0.0500000000,3.0000000000,0.7060000000,2.6350000000,1.6050000000,1.0340000000,0.8890000000,0.8850000000,1.9300000000,,0.7530000000,0.6854000000,0.7880000000,0.6516000000,1.3140000000,0.2249000000,11.3400000000,0.4152000000,REJECTED
TU001,REG_ISAN20,X13,2.2880000000,1.7200000000,0.1820000000,0.9290000000,3.0000000000,0.2230000000,2.3170000000,1.8170000000,1.3070000000,3.0000000000,3.0000000000,1.7400000000,,0.9980000000,0.4523000000,1.2600000000,0.2539000000,2.1770000000,0.0199000000,32.6510000000,0.0006000000,REJECTED
TU002,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
TU003,REG_ISAN20,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
