Month,Scope,Case_ID,Tier,Case_Type,Segment,Factor,Case_Name_TH,Input_Rebased,SA,SA_Floored,SA_Rebased,MA3_Centered
2015-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,63.2183908046,56.6762447575,56.6762447575,61.3144163064,58.6744168042
2015-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,64.3678160920,64.3978604502,64.3978604502,69.6679401005,61.9470268638
2015-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,48.2758620690,50.7088979437,50.7088979437,54.8587241845,54.7413208322
2015-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,36.7816091954,36.6943685545,36.6943685545,39.6972982116,46.0526344275
2015-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,31.0344827586,40.3035863646,40.3035863646,43.6018808863,41.0885949674
2016-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,33.3333333333,36.9433041877,36.9433041877,39.9666058044,47.4890170688
2016-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,49.4252873563,54.4431417511,54.4431417511,58.8985645157,49.6065112144
2016-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,50.5747126437,46.1755308614,46.1755308614,49.9543633231,49.7612787057
2016-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,36.7816091954,37.3724841788,37.3724841788,40.4309082782,39.9437456812
2016-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,35.6321839080,27.2185049628,27.2185049628,29.4459654423,42.0960690987
2016-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,56.3218390805,52.1440591207,52.1440591207,56.4113335757,49.8359599204
2016-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,57.4712643678,58.8356884149,58.8356884149,63.6505807430,55.1604375997
2016-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,47.1264367816,41.9836165797,41.9836165797,45.4193984805,50.5510680363
2016-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,40.2298850575,39.3619873033,39.3619873033,42.5832248853,45.4106698211
2016-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,42.5287356322,44.5810407344,44.5810407344,48.2293860975,49.8572192138
2016-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,54.0229885057,54.3141778190,54.3141778190,58.7590466585,57.1615952556
2016-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,48.2758620690,59.6174816528,59.6174816528,64.4963530107,66.0056845149
2017-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,65.5172413793,69.1062567137,69.1062567137,74.7616538755,69.7924961952
2017-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,60.9195402299,64.8152448718,64.8152448718,70.1194816995,71.1427787116
2017-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,67.8160919540,63.3619000293,63.3619000293,68.5472005597,68.3266882425
2017-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,59.7701149425,61.2970606567,61.2970606567,66.3133824682,68.0496429422
2017-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,72.4137931034,64.0469808226,64.0469808226,69.2883457986,70.5657897329
2017-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,77.0114942529,70.3393333940,70.3393333940,76.0956409320,75.2991908765
2017-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,74.4230798496,74.4230798496,80.5135858988,76.8409941109
2017-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,71.2643678161,68.3224982008,68.3224982008,73.9137555020,78.3070632652
2017-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,74.4048354027,74.4048354027,80.4938483948,77.1921790666
2017-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,68.9655172414,71.3314358192,71.3314358192,77.1689333030,79.3007743569
2017-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,74.1697656119,74.1697656119,80.2395413729,76.2805485790
2017-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,54.0229885057,66.0295592904,66.0295592904,71.4331710610,76.6058043319
2018-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,68.9655172414,72.2333904869,72.2333904869,78.1447005617,76.5736331076
2018-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,71.2643678161,74.0805527828,74.0805527828,80.1430277000,79.1078540335
2018-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,77.0114942529,73.0571133689,73.0571133689,79.0358338386,81.0898425084
2018-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,77.7295692332,77.7295692332,84.0906659867,80.5750865429
2018-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,80.4597701149,72.6531021022,72.6531021022,78.5987598033,78.5608192227
