Case_ID,Scope,Tier,Case_Type,Members,Status,Method,Reason,Signal_Contributors_N,Required_Contributors_N,Post_SA_Status,Post_SA_Pre_Max
FP006,REG_ISAN20,T1,keyword,FP006,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP007,REG_ISAN20,T1,keyword,FP007,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP008,REG_ISAN20,T1,keyword,FP008,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP009,REG_ISAN20,T1,keyword,FP009,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP010,REG_ISAN20,T1,keyword,FP010,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP011,REG_ISAN20,T1,keyword,FP011,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP012,REG_ISAN20,T1,keyword,FP012,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP013,REG_ISAN20,T1,keyword,FP013,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP014,REG_ISAN20,T1,keyword,FP014,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU001,REG_ISAN20,T1,keyword,FU001,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Cannot perform automatic outlier identification if the robust,1,20,OK,99.5180708613
FU002,REG_ISAN20,T1,keyword,FU002,OK,X13,,18,20,OK,93.0409372327
FU003,REG_ISAN20,T1,keyword,FU003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU004,REG_ISAN20,T1,keyword,FU004,OK,X13,,20,20,OK,92.4100958189
FU005,REG_ISAN20,T1,keyword,FU005,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU006,REG_ISAN20,T1,keyword,FU006,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Cannot perform automatic outlier identification if the robust,1,20,OK,99.5180708613
FU007,REG_ISAN20,T1,keyword,FU007,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU008,REG_ISAN20,T1,keyword,FU008,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU009,REG_ISAN20,T1,keyword,FU009,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU010,REG_ISAN20,T1,keyword,FU010,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU011,REG_ISAN20,T1,keyword,FU011,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU012,REG_ISAN20,T1,keyword,FU012,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU013,REG_ISAN20,T1,keyword,FU013,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU014,REG_ISAN20,T1,keyword,FU014,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP015,REG_ISAN20,T1,keyword,FP015,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FU015,REG_ISAN20,T1,keyword,FU015,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
TP001,REG_ISAN20,T1,keyword,TP001,OK,X13,,11,20,OK,96.0328308875
TP002,REG_ISAN20,T1,keyword,TP002,OK,X13,,1,20,OK,97.7725357726
TP003,REG_ISAN20,T1,keyword,TP003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
TP004,REG_ISAN20,T1,keyword,TP004,OK,X13,,6,20,OK,101.5173578641
TU001,REG_ISAN20,T1,keyword,TU001,OK,X13,,16,20,OK,97.2301953269
TU002,REG_ISAN20,T1,keyword,TU002,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
TU003,REG_ISAN20,T1,keyword,TU003,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Cannot perform automatic outlier identification if the robust,1,20,OK,99.5180708613
TU004,REG_ISAN20,T1,keyword,TU004,OK,X13,,2,20,OK,98.1692744987
TU005,REG_ISAN20,T1,keyword,TU005,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
NP001,REG_ISAN20,T1,keyword,NP001,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
NP002,REG_ISAN20,T1,keyword,NP002,OK,X13,,11,20,OK,89.0645994881
NP003,REG_ISAN20,T1,keyword,NP003,OK,X13,,11,20,OK,82.2059808389
NP004,REG_ISAN20,T1,keyword,NP004,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
NU001,REG_ISAN20,T1,keyword,NU001,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
NU002,REG_ISAN20,T1,keyword,NU002,OK,X13,,6,20,OK,90.8383034925
NU003,REG_ISAN20,T1,keyword,NU003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
NU004,REG_ISAN20,T1,keyword,NU004,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
NP005,REG_ISAN20,T1,keyword,NP005,OK,X13,,20,20,OK,92.8181173124
NP006,REG_ISAN20,T1,keyword,NP006,OK,X13,,20,20,OK,97.7793967184
FU016,REG_ISAN20,T1,keyword,FU016,OK,X13,,20,20,OK,100.1336003912
FU017,REG_ISAN20,T1,keyword,FU017,OK,X13,,16,20,OK,87.3958772799
FP016,REG_ISAN20,T1,keyword,FP016,OK,X13,,1,20,OK,97.2906853419
FP017,REG_ISAN20,T1,keyword,FP017,OK,X13,,20,20,OK,96.5673026829
FP018,REG_ISAN20,T1,keyword,FP018,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FP019,REG_ISAN20,T1,keyword,FP019,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FP020,REG_ISAN20,T1,keyword,FP020,OK,X13,,11,20,OK,98.7379005867
FP021,REG_ISAN20,T1,keyword,FP021,OK,X13,,20,20,OK,93.2495579373
FP022,REG_ISAN20,T1,keyword,FP022,OK,X13,,7,20,OK,95.6050231160
FP023,REG_ISAN20,T1,keyword,FP023,OK,X13,,19,20,OK,95.6507595112
FP024,REG_ISAN20,T1,keyword,FP024,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FP025,REG_ISAN20,T1,keyword,FP025,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FP026,REG_ISAN20,T1,keyword,FP026,OK,X13,,18,20,OK,95.6008994797
FP027,REG_ISAN20,T1,keyword,FP027,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FU018,REG_ISAN20,T1,keyword,FU018,OK,X13,,11,20,OK,91.6379188928
FU019,REG_ISAN20,T1,keyword,FU019,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Cannot perform automatic outlier identification if the robust,2,20,OK,99.5180708613
FU020,REG_ISAN20,T1,keyword,FU020,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FU021,REG_ISAN20,T1,keyword,FU021,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FU022,REG_ISAN20,T1,keyword,FU022,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FU023,REG_ISAN20,T1,keyword,FU023,OK,X13,,19,20,OK,95.0980488556
FU024,REG_ISAN20,T1,keyword,FU024,OK,X13,,8,20,OK,97.4114643703
FU025,REG_ISAN20,T1,keyword,FU025,OK,X13,,13,20,OK,93.2264378532
FU026,REG_ISAN20,T1,keyword,FU026,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,20,NO_SIGNAL,0.0000000000
FU027,REG_ISAN20,T1,keyword,FU027,OK,X13,,6,20,OK,97.6445168652
TP005,REG_ISAN20,T1,keyword,TP005,OK,X13,,20,20,OK,100.8471918234
TP006,REG_ISAN20,T1,keyword,TP006,OK,X13,,20,20,OK,101.6222564528
TU006,REG_ISAN20,T1,keyword,TU006,OK,X13,,12,20,OK,97.2158647018
