Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
FU019,REG_ISAN20,FALLBACK,NOT_AVAILABLE,REVIEW,2,20,PARTIAL,TRUE
FU020,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU021,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU022,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU023,REG_ISAN20,SUCCESS,REJECTED,REVIEW,19,20,PARTIAL,TRUE
FU024,REG_ISAN20,SUCCESS,REJECTED,REVIEW,8,20,PARTIAL,TRUE
FU025,REG_ISAN20,SUCCESS,REJECTED,REVIEW,13,20,PARTIAL,TRUE
FU026,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU027,REG_ISAN20,SUCCESS,REJECTED,REVIEW,6,20,PARTIAL,TRUE
TP005,REG_ISAN20,SUCCESS,CONDITIONALLY REJECTED,REVIEW,20,20,FULL,TRUE
TP006,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
TU006,REG_ISAN20,SUCCESS,REJECTED,REVIEW,12,20,PARTIAL,TRUE
